timestamp,episode,loss,action_taken,reward,state_info,q_values
2025-01-21T20:37:15.434299,7,940.6593627929688,2,75.0,"{""hand"": [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""position"": 0, ""equity"": 0.5, ""pot_odds"": 2.3333333333333335}","[[-0.0288558229804039, -0.10587844997644424, -0.11196284741163254, 0.018428808078169823, -0.010155086405575275, 0.029104085639119148]]"
2025-01-21T20:37:22.915119,8,65.92455291748047,2,-20.0,"{""hand"": [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""position"": 0, ""equity"": 0.5, ""pot_odds"": 2.3333333333333335}","[[-0.023422537371516228, -0.10119397938251495, -0.1068868413567543, 0.017532316967844963, -0.008178605698049068, 0.027004605159163475]]"
2025-01-21T20:37:23.572280,9,0.0004409175307955593,0,0.0,"{""hand"": [[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""position"": 0, ""equity"": 0.5, ""pot_odds"": 2.0}","[[0.001429140567779541, 0.0021837474778294563, -0.041803374886512756, 0.007188725285232067, 0.011416268534958363, -0.006041439715772867]]"
2025-01-21T20:37:26.676964,9,0.00032880689832381904,0,0.0,"{""hand"": [[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""position"": 0, ""equity"": 0.5, ""pot_odds"": 2.0}","[[0.003279191441833973, 0.00911000557243824, -0.03309917449951172, 0.007675496861338615, 0.013989081606268883, -0.005959106609225273]]"
2025-01-21T20:37:28.947098,10,16.72911834716797,0,-10.0,"{""hand"": [[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""position"": 0, ""equity"": 0.5, ""pot_odds"": 2.3333333333333335}","[[0.0100590530782938, -0.0133974589407444, -0.0400930792093277, 0.010837084613740444, -0.0012103170156478882, 0.005812803283333778]]"
2025-01-21T20:37:32.062672,10,0.0003401378926355392,0,0.0,"{""hand"": [[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""position"": 0, ""equity"": 0.5, ""pot_odds"": 2.3333333333333335}","[[0.003215567208826542, -0.011495241895318031, -0.04017868638038635, 0.007968268357217312, -0.001485074870288372, 0.006864352151751518]]"
2025-01-21T20:37:44.164437,11,66.68841552734375,0,-20.0,"{""hand"": [[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""position"": 0, ""equity"": 0.5, ""pot_odds"": 2.3333333333333335}","[[-0.008187003433704376, -0.00954691506922245, -0.04163951426744461, 0.004125255160033703, -0.002154672984033823, 0.010961773805320263]]"
2025-01-21T20:37:44.816504,12,0.000546816794667393,0,0.0,"{""hand"": [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""position"": 0, ""equity"": 0.5, ""pot_odds"": 1.25}","[[-0.0022890139371156693, -0.014413749799132347, -0.045181430876255035, -0.011924722231924534, -0.00609318632632494, 0.01530562061816454]]"
2025-01-21T20:37:47.928498,12,0.0004446576058398932,0,0.0,"{""hand"": [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""position"": 0, ""equity"": 0.5, ""pot_odds"": 1.25}","[[-0.006375309079885483, -0.008352948352694511, -0.03856354579329491, -0.00979465339332819, -0.0052298689261078835, 0.01728387176990509]]"
2025-01-21T20:37:50.174290,13,66.69532012939453,1,-20.0,"{""hand"": [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""position"": 0, ""equity"": 0.5, ""pot_odds"": 1.3333333333333335}","[[-0.002790040336549282, -0.010319437831640244, -0.007871972396969795, -0.00040146708488464355, 0.030112575739622116, -0.0014191623777151108]]"
2025-01-21T20:37:57.890109,14,0.00018086424097418785,1,0.0,"{""hand"": [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""position"": 0, ""equity"": 0.5, ""pot_odds"": 1.3333333333333335}","[[-0.00858015101402998, -0.021007269620895386, -0.011412144638597965, -0.0035900119692087173, 0.029643429443240166, -0.0012670112773776054]]"
2025-01-21T20:38:01.013343,14,266.947021484375,1,40.0,"{""hand"": [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], ""position"": 0, ""equity"": 0.5, ""pot_odds"": 1.3333333333333335}","[[-0.013472913764417171, -0.008916826918721199, -0.008194896392524242, -0.004327605478465557, 0.027359608560800552, 0.0023221345618367195]]"
